Node	dA	dIIC	dIICintra	dIICflux	dIICconnector	dPC	dPCintra	dPCflux	dPCconnector	
1	0.4464728	0.0647492	0.0054787	0.0592706	0.0000001	0.0985501	0.0046868	0.0896020	0.0042604	
2	0.1775619	0.0257507	0.0008665	0.0248842	0.0000001	0.0091513	0.0007413	0.0083986	0.0000105	
3	4.6525790	0.6747353	0.5949383	0.0797971	0.0000000	0.6053676	0.5089461	0.0964215	0.0000000	
4	0.2970050	0.0024244	0.0024244	0.0000000	0.0000001	0.0021194	0.0020740	0.0000454	0.0000000	
5	0.2841024	0.0022184	0.0022184	0.0000000	0.0000001	0.0019353	0.0018977	0.0000375	0.0000000	
6	0.1878235	0.1723201	0.0009696	0.1713506	0.0000001	0.0223434	0.0008294	0.0215102	0.0000028	
7	0.1752028	0.2748653	0.0008437	0.2740217	0.0000001	0.2374183	0.0007217	0.2366965	0.0000000	
8	0.6078025	0.8856020	0.0101533	0.7066823	0.1687664	0.0865884	0.0086858	0.0665315	0.0113703	
9	0.2771382	0.4409128	0.0021109	0.4388018	0.0000001	0.3241605	0.0018058	0.3223543	0.0000000	
10	0.2064094	0.3345424	0.0011710	0.3333714	0.0000001	0.1398494	0.0010017	0.1388477	0.0000000	
11	0.9037468	1.6254960	0.0224480	1.4329780	0.1700698	0.2006247	0.0192034	0.1814213	0.0000000	
12	0.1336808	0.1735086	0.0004912	0.1606135	0.0124040	0.2154506	0.0004202	0.1996203	0.0154092	
13	0.1934580	0.1444634	0.0010286	0.1434347	0.0000001	0.0031732	0.0008799	0.0022933	0.0000000	
14	0.1362288	0.2264796	0.0005101	0.2206984	0.0052713	0.3399388	0.0004363	0.3395024	0.0000000	
15	0.1334102	0.2647447	0.0004892	0.1215301	0.1427255	0.0206373	0.0004185	0.0193029	0.0009150	
16	0.3306934	0.5249602	0.0030056	0.5219546	0.0000001	0.8674808	0.0025712	0.8649097	0.0000000	
17	0.2897500	0.2644969	0.0023074	0.2621894	0.0000001	0.0616226	0.0019739	0.0454970	0.0141507	
18	0.1496038	0.2440094	0.0006151	0.2433942	0.0000001	0.3740601	0.0005262	0.3735339	0.0000000	
19	3.3995690	5.5664450	0.3176377	5.2473230	0.0014842	9.0471720	0.2717265	8.5646740	0.2107702	
20	0.4775935	1.0730430	0.0062690	0.5524645	0.5143092	0.1498859	0.0053629	0.1128376	0.0316845	
21	0.3378098	0.5381647	0.0031364	0.5350283	0.0000001	2.8209330	0.0026830	0.6596158	2.1586340	
22	0.2920511	0.4652664	0.0023442	0.4629222	0.0000001	1.7559350	0.0020054	0.4948631	1.2590660	
23	2.0659860	4.3163600	0.1173111	3.1881530	1.0108960	2.8265220	0.1003549	2.6013460	0.1248199	
24	0.6334568	1.0043730	0.0110285	0.9933441	0.0000001	1.6575080	0.0094345	1.6480740	0.0000000	
25	0.1343487	0.2585356	0.0004961	0.2580395	0.0000001	0.2458992	0.0004244	0.2454748	0.0000000	
26	1.0303470	1.9840470	0.0291777	1.9548690	0.0000001	2.4261490	0.0249604	2.3045460	0.0966410	
27	25.8539400	53.9245600	18.3712200	32.5644000	2.9889480	59.2925800	15.7158400	38.3521200	5.2246100	
28	1.6419520	2.6921380	0.0740978	2.6180410	0.0000001	4.1625690	0.0633877	4.0991820	0.0000000	
29	29.2301700	57.9198600	23.4826500	33.8853500	0.5518587	62.2271600	20.0884700	38.1365400	4.0021450	
30	0.2459455	0.4046014	0.0016625	0.4029389	0.0000001	0.4957580	0.0014222	0.4943358	0.0000000	
31	0.1362139	0.2622486	0.0005099	0.2617387	0.0000001	0.3571570	0.0004362	0.3567207	0.0000000	
32	0.4136626	0.6832843	0.0047030	0.6785812	0.0000001	6.3445570	0.0040232	1.0947840	5.2457490	
